date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:51:52	11714/11714	---M-Z	200	added ('OK')	text/html	etag:%222dc2-66432c83-7ba6ba6c3a6df97d;gz%22	https://fortunearchitects.github.io/portfolio-single2.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single2.html	(from https://fortunearchitects.github.io/)
23:51:52	10178/10178	---M-Z	200	added ('OK')	text/html	etag:%2227c2-66432c83-33918f260baaf68;gz%22	https://fortunearchitects.github.io/portfolio-single3.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single3.html	(from https://fortunearchitects.github.io/)
23:51:53	10386/10386	---M-Z	200	added ('OK')	text/html	etag:%222892-66432c83-524ddcd7cdd0dca3;gz%22	https://fortunearchitects.github.io/portfolio-single4.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single4.html	(from https://fortunearchitects.github.io/)
23:51:53	10875/10875	---M-Z	200	added ('OK')	text/html	etag:%222a7b-66432c83-3a2d8968c7d42777;gz%22	https://fortunearchitects.github.io/portfolio-single5.html	C:/Kaustubh/aa/fortunearchitects.github.io/portfolio-single5.html	(from https://fortunearchitects.github.io/)
23:51:53	10736/10736	---M-Z	200	added ('OK')	text/html	etag:%2229f0-66432c83-17df9ef246bbbb0c;gz%22	https://fortunearchitects.github.io/service.html	C:/Kaustubh/aa/fortunearchitects.github.io/service.html	(from https://fortunearchitects.github.io/)
23:51:53	8044/8044	---M-Z	200	added ('OK')	text/html	etag:%221f6c-66432c81-a7b28a70da9804d5;gz%22	https://fortunearchitects.github.io/gallery.html	C:/Kaustubh/aa/fortunearchitects.github.io/gallery.html	(from https://fortunearchitects.github.io/)
23:51:54	15422/15422	---M-Z	200	added ('OK')	text/html	etag:%223c3e-66432c81-b6da0195a66b45c4;gz%22	https://fortunearchitects.github.io/about.html	C:/Kaustubh/aa/fortunearchitects.github.io/about.html	(from https://fortunearchitects.github.io/)
23:51:54	10926/10926	---M-Z	200	added ('OK')	text/html	etag:%222aae-664a357d-e176c19953423436;gz%22	https://fortunearchitects.github.io/faq.html	C:/Kaustubh/aa/fortunearchitects.github.io/faq.html	(from https://fortunearchitects.github.io/)
23:51:54	9384/9384	---M-Z	200	added ('OK')	text/html	etag:%2224a8-66432c81-49f96ae0dd0015c9;gz%22	https://fortunearchitects.github.io/contact.html	C:/Kaustubh/aa/fortunearchitects.github.io/contact.html	(from https://fortunearchitects.github.io/)
23:51:55	542263/542263	---M--	200	added ('OK')	image/jpeg	etag:%2284637-66432c81-7783ff3e90f080e3;;;%22	https://fortunearchitects.github.io/images/sucess/test%201.jpeg	C:/Kaustubh/aa/fortunearchitects.github.io/images/sucess/test%201.jpg	(from https://fortunearchitects.github.io/)
23:51:55	12870/12870	---M--	200	added ('OK')	image/jpeg	etag:%223246-66432c81-f77d2dbf1384b7d;;;%22	https://fortunearchitects.github.io/images/sucess/test%202.jpeg	C:/Kaustubh/aa/fortunearchitects.github.io/images/sucess/test%202.jpg	(from https://fortunearchitects.github.io/)
23:51:55	3876713/3876713	---M--	200	added ('OK')	image/png	etag:%223b2769-66432c81-720edf46bdab623e;;;%22	https://fortunearchitects.github.io/images/wrapper-img.png	C:/Kaustubh/aa/fortunearchitects.github.io/images/wrapper-img.png	(from https://fortunearchitects.github.io/)
